Comunidad autónoma;Divisiones COICOP;Año;Total
Balears (Illes);12. Seguros y servicios financieros;2017;969.108
Balears (Illes);12. Seguros y servicios financieros;2018;1.102.844
Balears (Illes);12. Seguros y servicios financieros;2019;1.162.750
Balears (Illes);12. Seguros y servicios financieros;2020;1.099.820
Balears (Illes);12. Seguros y servicios financieros;2021;1.068.407
Balears (Illes);12. Seguros y servicios financieros;2022 (P);1.346.642
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2016;1.060.329
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2017;1.135.389
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2018;1.112.966
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2019;1.144.472
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2020;837.281
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2021;1.024.081
Balears (Illes);13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);1.297.094
Balears (Illes);Total gasto en consumo final de los hogares interior;2016;25.361.855
Balears (Illes);Total gasto en consumo final de los hogares interior;2017;27.287.410
Balears (Illes);Total gasto en consumo final de los hogares interior;2018;27.932.172
Balears (Illes);Total gasto en consumo final de los hogares interior;2019;28.438.826
Balears (Illes);Total gasto en consumo final de los hogares interior;2020;18.921.692
Balears (Illes);Total gasto en consumo final de los hogares interior;2021;23.620.113
Balears (Illes);Total gasto en consumo final de los hogares interior;2022 (P);30.289.803
Balears (Illes);P.3. Gasto en consumo final de los hogares;2016;17.495.945
Balears (Illes);P.3. Gasto en consumo final de los hogares;2017;18.531.426
Balears (Illes);P.3. Gasto en consumo final de los hogares;2018;19.357.698
Balears (Illes);P.3. Gasto en consumo final de los hogares;2019;19.639.572
Balears (Illes);P.3. Gasto en consumo final de los hogares;2020;17.691.149
Balears (Illes);P.3. Gasto en consumo final de los hogares;2021;18.908.466
Balears (Illes);P.3. Gasto en consumo final de los hogares;2022 (P);20.969.669
Balears (Illes);P.4. Consumo final efectivo de los hogares;2016;20.754.672
Balears (Illes);P.4. Consumo final efectivo de los hogares;2017;21.942.856
Balears (Illes);P.4. Consumo final efectivo de los hogares;2018;22.984.813
Balears (Illes);P.4. Consumo final efectivo de los hogares;2019;23.635.278
Balears (Illes);P.4. Consumo final efectivo de los hogares;2020;21.749.008
Balears (Illes);P.4. Consumo final efectivo de los hogares;2021;23.180.037
Balears (Illes);P.4. Consumo final efectivo de los hogares;2022 (P);25.486.351
Canarias;01. Alimentos y bebidas no alcohólicas;2016;3.901.781
Canarias;01. Alimentos y bebidas no alcohólicas;2017;4.027.045
Canarias;01. Alimentos y bebidas no alcohólicas;2018;4.225.483
Canarias;01. Alimentos y bebidas no alcohólicas;2019;4.315.820
Canarias;01. Alimentos y bebidas no alcohólicas;2020;4.337.156
Canarias;01. Alimentos y bebidas no alcohólicas;2021;4.382.515
Canarias;01. Alimentos y bebidas no alcohólicas;2022 (P);4.922.047
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.134.777
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.167.392
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.184.144
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.233.033
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.238.536
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2021;1.279.917
Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);1.372.292
Canarias;03. Artículos de vestir y calzado;2016;1.528.343
Canarias;03. Artículos de vestir y calzado;2017;1.631.856
Canarias;03. Artículos de vestir y calzado;2018;1.619.225
Canarias;03. Artículos de vestir y calzado;2019;1.617.647
Canarias;03. Artículos de vestir y calzado;2020;864.359
Canarias;03. Artículos de vestir y calzado;2021;1.053.743
Canarias;03. Artículos de vestir y calzado;2022 (P);1.535.092
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;6.069.653
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;6.221.397
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;6.318.992
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;6.436.456
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;6.301.048
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;6.641.812
Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);7.076.859
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.381.411
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.469.048
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.454.382
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.450.656
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;1.096.145
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;1.316.740
Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);1.600.862
Canarias;06. Salud;2016;1.146.876
Canarias;06. Salud;2017;1.231.298
Canarias;06. Salud;2018;1.322.284
Canarias;06. Salud;2019;1.330.942
Canarias;06. Salud;2020;1.216.167
Canarias;06. Salud;2021;1.301.589
Canarias;06. Salud;2022 (P);1.330.622
Canarias;07. Transporte;2016;4.739.602
Canarias;07. Transporte;2017;5.243.528
Canarias;07. Transporte;2018;5.481.720
Canarias;07. Transporte;2019;5.579.843
Canarias;07. Transporte;2020;3.415.098
Canarias;07. Transporte;2021;4.317.073
Canarias;07. Transporte;2022 (P);6.088.569
Canarias;08. Información y comunicación;2016;1.092.170
Canarias;08. Información y comunicación;2017;1.150.251
Canarias;08. Información y comunicación;2018;1.181.985
Canarias;08. Información y comunicación;2019;1.178.662
Canarias;08. Información y comunicación;2020;1.091.398
Canarias;08. Información y comunicación;2021;1.163.790
Canarias;08. Información y comunicación;2022 (P);1.327.039
Canarias;09. Ocio, deporte y cultura;2016;2.519.657
Canarias;09. Ocio, deporte y cultura;2017;2.685.289
Canarias;09. Ocio, deporte y cultura;2018;2.676.957
Canarias;09. Ocio, deporte y cultura;2019;2.658.797
Canarias;09. Ocio, deporte y cultura;2020;1.325.990
Canarias;09. Ocio, deporte y cultura;2021;1.771.826
Canarias;09. Ocio, deporte y cultura;2022 (P);2.898.842
Canarias;10. Servicios para la educación;2016;356.097
Canarias;10. Servicios para la educación;2017;360.032
Canarias;10. Servicios para la educación;2018;361.354
Canarias;10. Servicios para la educación;2019;362.754
Canarias;10. Servicios para la educación;2020;342.574
Canarias;10. Servicios para la educación;2021;304.625
Canarias;10. Servicios para la educación;2022 (P);309.363
Canarias;11. Restaurantes y servicios de alojamiento;2016;7.283.796
Canarias;11. Restaurantes y servicios de alojamiento;2017;8.048.291
Canarias;11. Restaurantes y servicios de alojamiento;2018;8.049.197
Canarias;11. Restaurantes y servicios de alojamiento;2019;8.280.185
Canarias;11. Restaurantes y servicios de alojamiento;2020;3.058.014
Canarias;11. Restaurantes y servicios de alojamiento;2021;5.194.913
Canarias;11. Restaurantes y servicios de alojamiento;2022 (P);9.379.551
Canarias;12. Seguros y servicios financieros;2016;883.191
Canarias;12. Seguros y servicios financieros;2017;922.525
Canarias;12. Seguros y servicios financieros;2018;983.320
Canarias;12. Seguros y servicios financieros;2019;1.043.149
Canarias;12. Seguros y servicios financieros;2020;1.018.887
Canarias;12. Seguros y servicios financieros;2021;973.468
Canarias;12. Seguros y servicios financieros;2022 (P);1.185.460
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2016;1.518.061
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2017;1.603.771
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2018;1.657.659
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2019;1.654.428
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2020;1.285.418
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2021;1.480.321
Canarias;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);1.861.096
Canarias;Total gasto en consumo final de los hogares interior;2016;33.555.415
Canarias;Total gasto en consumo final de los hogares interior;2017;35.761.723
Canarias;Total gasto en consumo final de los hogares interior;2018;36.516.702
Canarias;Total gasto en consumo final de los hogares interior;2019;37.142.372
Canarias;Total gasto en consumo final de los hogares interior;2020;26.590.790
Canarias;Total gasto en consumo final de los hogares interior;2021;31.182.332
Canarias;Total gasto en consumo final de los hogares interior;2022 (P);40.887.694
Canarias;P.3. Gasto en consumo final de los hogares;2016;23.600.159
Canarias;P.3. Gasto en consumo final de los hogares;2017;24.874.347
Canarias;P.3. Gasto en consumo final de los hogares;2018;25.640.903
Canarias;P.3. Gasto en consumo final de los hogares;2019;26.194.524
Canarias;P.3. Gasto en consumo final de los hogares;2020;23.822.627
Canarias;P.3. Gasto en consumo final de los hogares;2021;26.650.438
Canarias;P.3. Gasto en consumo final de los hogares;2022 (P);29.254.772
Canarias;P.4. Consumo final efectivo de los hogares;2016;29.824.910
Canarias;P.4. Consumo final efectivo de los hogares;2017;31.427.676
Canarias;P.4. Consumo final efectivo de los hogares;2018;32.663.761
Canarias;P.4. Consumo final efectivo de los hogares;2019;33.888.142
Canarias;P.4. Consumo final efectivo de los hogares;2020;31.640.270
Canarias;P.4. Consumo final efectivo de los hogares;2021;35.320.769
Canarias;P.4. Consumo final efectivo de los hogares;2022 (P);38.380.553
Cantabria;01. Alimentos y bebidas no alcohólicas;2016;1.110.817
Cantabria;01. Alimentos y bebidas no alcohólicas;2017;1.136.885
Cantabria;01. Alimentos y bebidas no alcohólicas;2018;1.184.262
Cantabria;01. Alimentos y bebidas no alcohólicas;2019;1.184.277
Cantabria;01. Alimentos y bebidas no alcohólicas;2020;1.282.098
Cantabria;01. Alimentos y bebidas no alcohólicas;2021;1.244.086
Cantabria;01. Alimentos y bebidas no alcohólicas;2022 (P);1.309.821
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2016;333.513
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2017;329.412
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2018;333.587
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2019;330.588
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2020;352.642
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2021;350.235
Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);360.902
Cantabria;03. Artículos de vestir y calzado;2016;409.950
Cantabria;03. Artículos de vestir y calzado;2017;401.945
Cantabria;03. Artículos de vestir y calzado;2018;393.328
Cantabria;03. Artículos de vestir y calzado;2019;383.876
Cantabria;03. Artículos de vestir y calzado;2020;266.699
Cantabria;03. Artículos de vestir y calzado;2021;291.388
Cantabria;03. Artículos de vestir y calzado;2022 (P);305.029
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;2.179.886
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;2.237.959
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;2.285.999
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;2.323.182
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;2.266.307
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;2.364.101
Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);2.484.147
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;397.019
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;407.979
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;400.491
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;391.214
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;346.991
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;385.860
Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);391.782
Cantabria;06. Salud;2016;391.057
Cantabria;06. Salud;2017;376.622
Cantabria;06. Salud;2018;387.389
Cantabria;06. Salud;2019;404.028
Cantabria;06. Salud;2020;398.423
Cantabria;06. Salud;2021;404.321
Cantabria;06. Salud;2022 (P);428.724
Cantabria;07. Transporte;2016;1.006.201
Cantabria;07. Transporte;2017;1.100.183
Cantabria;07. Transporte;2018;1.136.884
Cantabria;07. Transporte;2019;1.124.256
Cantabria;07. Transporte;2020;850.096
Cantabria;07. Transporte;2021;1.026.904
Cantabria;07. Transporte;2022 (P);1.199.329
Cantabria;08. Información y comunicación;2016;263.213
Cantabria;08. Información y comunicación;2017;274.144
Cantabria;08. Información y comunicación;2018;281.776
Cantabria;08. Información y comunicación;2019;272.285
Cantabria;08. Información y comunicación;2020;268.603
Cantabria;08. Información y comunicación;2021;280.415
Cantabria;08. Información y comunicación;2022 (P);288.350
Cantabria;09. Ocio, deporte y cultura;2016;510.149
Cantabria;09. Ocio, deporte y cultura;2017;535.060
Cantabria;09. Ocio, deporte y cultura;2018;554.871
Cantabria;09. Ocio, deporte y cultura;2019;556.274
Cantabria;09. Ocio, deporte y cultura;2020;345.432
Cantabria;09. Ocio, deporte y cultura;2021;427.939
Cantabria;09. Ocio, deporte y cultura;2022 (P);573.229
Cantabria;10. Servicios para la educación;2016;108.681
Cantabria;10. Servicios para la educación;2017;110.989
Cantabria;10. Servicios para la educación;2018;112.304
Cantabria;10. Servicios para la educación;2019;113.712
Cantabria;10. Servicios para la educación;2020;109.794
Cantabria;10. Servicios para la educación;2021;98.074
Cantabria;10. Servicios para la educación;2022 (P);99.277
Cantabria;11. Restaurantes y servicios de alojamiento;2016;1.366.030
Cantabria;11. Restaurantes y servicios de alojamiento;2017;1.527.950
Cantabria;11. Restaurantes y servicios de alojamiento;2018;1.539.099
Cantabria;11. Restaurantes y servicios de alojamiento;2019;1.570.101
Cantabria;11. Restaurantes y servicios de alojamiento;2020;825.985
Cantabria;11. Restaurantes y servicios de alojamiento;2021;1.090.872
Cantabria;11. Restaurantes y servicios de alojamiento;2022 (P);1.488.657
Cantabria;12. Seguros y servicios financieros;2016;333.222
Cantabria;12. Seguros y servicios financieros;2017;346.525
Cantabria;12. Seguros y servicios financieros;2018;370.311
Cantabria;12. Seguros y servicios financieros;2019;360.521
Cantabria;12. Seguros y servicios financieros;2020;357.144
Cantabria;12. Seguros y servicios financieros;2021;375.683
Cantabria;12. Seguros y servicios financieros;2022 (P);456.377
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2016;513.712
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2017;538.681
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2018;530.107
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2019;509.681
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2020;427.695
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2021;450.003
Cantabria;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);516.878
Cantabria;Total gasto en consumo final de los hogares interior;2016;8.923.450
Cantabria;Total gasto en consumo final de los hogares interior;2017;9.324.334
Cantabria;Total gasto en consumo final de los hogares interior;2018;9.510.408
Cantabria;Total gasto en consumo final de los hogares interior;2019;9.523.995
Cantabria;Total gasto en consumo final de los hogares interior;2020;8.097.909
Cantabria;Total gasto en consumo final de los hogares interior;2021;8.789.881
Cantabria;Total gasto en consumo final de los hogares interior;2022 (P);9.902.502
Cantabria;P.3. Gasto en consumo final de los hogares;2016;7.980.453
Cantabria;P.3. Gasto en consumo final de los hogares;2017;8.243.783
Cantabria;P.3. Gasto en consumo final de los hogares;2018;8.532.902
Cantabria;P.3. Gasto en consumo final de los hogares;2019;8.666.815
Cantabria;P.3. Gasto en consumo final de los hogares;2020;7.493.183
Cantabria;P.3. Gasto en consumo final de los hogares;2021;8.057.059
Cantabria;P.3. Gasto en consumo final de los hogares;2022 (P);9.025.165
Cantabria;P.4. Consumo final efectivo de los hogares;2016;9.815.820
Cantabria;P.4. Consumo final efectivo de los hogares;2017;10.101.047
Cantabria;P.4. Consumo final efectivo de los hogares;2018;10.477.666
Cantabria;P.4. Consumo final efectivo de los hogares;2019;10.739.545
Cantabria;P.4. Consumo final efectivo de los hogares;2020;9.654.890
Cantabria;P.4. Consumo final efectivo de los hogares;2021;10.297.623
Cantabria;P.4. Consumo final efectivo de los hogares;2022 (P);11.440.028
Castilla y León;01. Alimentos y bebidas no alcohólicas;2016;4.842.301
Castilla y León;01. Alimentos y bebidas no alcohólicas;2017;4.856.868
Castilla y León;01. Alimentos y bebidas no alcohólicas;2018;4.974.583
Castilla y León;01. Alimentos y bebidas no alcohólicas;2019;4.952.246
Castilla y León;01. Alimentos y bebidas no alcohólicas;2020;5.259.593
Castilla y León;01. Alimentos y bebidas no alcohólicas;2021;5.100.636
Castilla y León;01. Alimentos y bebidas no alcohólicas;2022 (P);5.337.976
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.448.337
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.417.394
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.430.311
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.430.063
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.545.880
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2021;1.529.385
Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);1.520.539
Castilla y León;03. Artículos de vestir y calzado;2016;1.441.105
Castilla y León;03. Artículos de vestir y calzado;2017;1.430.815
Castilla y León;03. Artículos de vestir y calzado;2018;1.355.870
Castilla y León;03. Artículos de vestir y calzado;2019;1.334.982
Castilla y León;03. Artículos de vestir y calzado;2020;985.234
Castilla y León;03. Artículos de vestir y calzado;2021;1.164.660
Castilla y León;03. Artículos de vestir y calzado;2022 (P);1.238.096
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;7.682.895
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;7.822.187
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;7.906.429
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;8.003.593
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;7.866.373
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;8.381.882
Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);8.901.781
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.367.208
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.416.233
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.416.578
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.352.861
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;1.226.338
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;1.421.972
Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);1.459.491
Castilla y León;06. Salud;2016;1.481.158
Castilla y León;06. Salud;2017;1.469.293
Castilla y León;06. Salud;2018;1.537.762
Castilla y León;06. Salud;2019;1.687.546
Castilla y León;06. Salud;2020;1.634.120
Castilla y León;06. Salud;2021;1.656.027
Castilla y León;06. Salud;2022 (P);1.690.277
Castilla y León;07. Transporte;2016;3.744.543
Castilla y León;07. Transporte;2017;4.160.922
Castilla y León;07. Transporte;2018;4.334.522
Castilla y León;07. Transporte;2019;4.365.359
Castilla y León;07. Transporte;2020;3.329.264
Castilla y León;07. Transporte;2021;4.045.029
Castilla y León;07. Transporte;2022 (P);4.619.810
Castilla y León;08. Información y comunicación;2016;1.058.377
Castilla y León;08. Información y comunicación;2017;1.091.408
Castilla y León;08. Información y comunicación;2018;1.124.420
Castilla y León;08. Información y comunicación;2019;1.108.364
Castilla y León;08. Información y comunicación;2020;1.117.865
Castilla y León;08. Información y comunicación;2021;1.170.924
Castilla y León;08. Información y comunicación;2022 (P);1.215.430
Castilla y León;09. Ocio, deporte y cultura;2016;2.015.900
Castilla y León;09. Ocio, deporte y cultura;2017;2.183.275
Castilla y León;09. Ocio, deporte y cultura;2018;2.286.189
Castilla y León;09. Ocio, deporte y cultura;2019;2.390.264
Castilla y León;09. Ocio, deporte y cultura;2020;1.568.371
Castilla y León;09. Ocio, deporte y cultura;2021;1.997.655
Castilla y León;09. Ocio, deporte y cultura;2022 (P);2.681.453
Castilla y León;10. Servicios para la educación;2016;532.153
Castilla y León;10. Servicios para la educación;2017;535.499
Castilla y León;10. Servicios para la educación;2018;534.693
Castilla y León;10. Servicios para la educación;2019;532.230
Castilla y León;10. Servicios para la educación;2020;506.440
Castilla y León;10. Servicios para la educación;2021;446.836
Castilla y León;10. Servicios para la educación;2022 (P);451.537
Castilla y León;11. Restaurantes y servicios de alojamiento;2016;4.696.317
Castilla y León;11. Restaurantes y servicios de alojamiento;2017;5.085.652
Castilla y León;11. Restaurantes y servicios de alojamiento;2018;5.160.017
Castilla y León;11. Restaurantes y servicios de alojamiento;2019;5.419.423
Castilla y León;11. Restaurantes y servicios de alojamiento;2020;3.125.673
Castilla y León;11. Restaurantes y servicios de alojamiento;2021;4.294.215
Castilla y León;11. Restaurantes y servicios de alojamiento;2022 (P);5.832.258
Castilla y León;12. Seguros y servicios financieros;2016;1.324.291
Castilla y León;12. Seguros y servicios financieros;2017;1.319.515
Castilla y León;12. Seguros y servicios financieros;2018;1.381.551
Castilla y León;12. Seguros y servicios financieros;2019;1.331.906
Castilla y León;12. Seguros y servicios financieros;2020;1.348.538
Castilla y León;12. Seguros y servicios financieros;2021;1.318.680
Castilla y León;12. Seguros y servicios financieros;2022 (P);1.585.015
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2016;1.736.584
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2017;1.828.921
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2018;1.850.702
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2019;1.902.371
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2020;1.669.295
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2021;1.864.608
Castilla y León;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);2.065.134
Castilla y León;Total gasto en consumo final de los hogares interior;2016;33.371.169
Castilla y León;Total gasto en consumo final de los hogares interior;2017;34.617.982
Castilla y León;Total gasto en consumo final de los hogares interior;2018;35.293.627
Castilla y León;Total gasto en consumo final de los hogares interior;2019;35.811.208
Castilla y León;Total gasto en consumo final de los hogares interior;2020;31.182.984
Castilla y León;Total gasto en consumo final de los hogares interior;2021;34.392.509
Castilla y León;Total gasto en consumo final de los hogares interior;2022 (P);38.598.797
Castilla y León;P.3. Gasto en consumo final de los hogares;2016;31.143.719
Castilla y León;P.3. Gasto en consumo final de los hogares;2017;32.216.725
Castilla y León;P.3. Gasto en consumo final de los hogares;2018;32.805.744
Castilla y León;P.3. Gasto en consumo final de los hogares;2019;33.195.384
Castilla y León;P.3. Gasto en consumo final de los hogares;2020;29.248.006
Castilla y León;P.3. Gasto en consumo final de los hogares;2021;32.651.996
Castilla y León;P.3. Gasto en consumo final de los hogares;2022 (P);35.915.914
Castilla y León;P.4. Consumo final efectivo de los hogares;2016;38.764.382
Castilla y León;P.4. Consumo final efectivo de los hogares;2017;40.104.429
Castilla y León;P.4. Consumo final efectivo de los hogares;2018;40.745.357
Castilla y León;P.4. Consumo final efectivo de los hogares;2019;41.636.959
Castilla y León;P.4. Consumo final efectivo de los hogares;2020;37.989.700
Castilla y León;P.4. Consumo final efectivo de los hogares;2021;41.766.830
Castilla y León;P.4. Consumo final efectivo de los hogares;2022 (P);45.651.044
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2016;3.324.261
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2017;3.294.946
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2018;3.420.803
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2019;3.447.553
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2020;3.757.793
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2021;3.676.081
Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2022 (P);3.888.544
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.072.285
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.063.777
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.053.432
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.043.399
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.080.182
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2021;1.088.990
Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);1.127.117
Castilla - La Mancha;03. Artículos de vestir y calzado;2016;1.039.185
Castilla - La Mancha;03. Artículos de vestir y calzado;2017;1.035.847
Castilla - La Mancha;03. Artículos de vestir y calzado;2018;979.712
Castilla - La Mancha;03. Artículos de vestir y calzado;2019;967.276
Castilla - La Mancha;03. Artículos de vestir y calzado;2020;691.734
Castilla - La Mancha;03. Artículos de vestir y calzado;2021;808.131
Castilla - La Mancha;03. Artículos de vestir y calzado;2022 (P);893.794
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;5.343.756
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;5.483.164
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;5.591.490
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;5.763.174
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;5.653.611
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;6.030.581
Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);6.403.255
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.026.174
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.078.110
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.068.210
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.035.286
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;951.307
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;1.127.390
Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);1.191.656
Castilla - La Mancha;06. Salud;2016;1.122.927
Castilla - La Mancha;06. Salud;2017;1.130.167
Castilla - La Mancha;06. Salud;2018;1.155.028
Castilla - La Mancha;06. Salud;2019;1.213.667
Castilla - La Mancha;06. Salud;2020;1.207.239
Castilla - La Mancha;06. Salud;2021;1.243.201
